brand,year_of_manufacture,age,repair_status,problem
Samsung,2015,4,Repairable,Cracked screen. Could be replace with a spare.
Apple,2016,3,Repairable,Screen cracked. Replacement screen fitted.
Apple,2017,2,Repairable,Broken camera lens.
Apple,2016,3,Repairable,Cracked digitiser; LCD ok.
Apple,2017,2,Repairable,Digitiser unresponsive; ghost touch.
Apple,unknown,unknown,Repairable,Cracked screen assembly.
Apple,2017,1.5,Repairable,iTunes won't detect.
Apple,unknown,unknown,Repairable,Cracked back cover and camera lens.
Apple,2015,4,Repairable,Cracked screen assembly.
Apple,unknown,unknown,Repairable,Cracked screen assembly.
Apple,2016,3,Repairable,"Gassing battery, cracked screen, broken camera lens."
Apple,2017,2,Repairable,Ghost touch on digitiser.
Apple,unknown,unknown,Repairable,"Cracked screen, end-of-life battery."
Apple,2017,2,Repairable,Nothing is wrong during diagnosis.
Apple,2016,3,Repairable,Strips on display - previous repair shop opened it and lost some screws and a bracket in between.
Apple,unknown,unknown,End of life,Water damage.
Samsung,2017,1.5,Repairable,Damaged LCD.
Samsung,2015,3.5,Repairable,Likely short circuit in charging port or IO board - needs new battery and charging port.
Apple,2016,2,Repairable,Wants to put it back to factory settings.
Apple,2015,3,Repairable,"Home button issues, ""freezes"" sometimes."
Apple,2014,4,Repairable,Weak/bad sound from speaker.
Apple,2016,2,Repairable,Sound issues.
Samsung,unknown,unknown,Repairable,Not always staying on - needs new battery.
Apple,2017,2.5,Repairable,Broken screen.
Apple,2017,2,Repairable,Broken screen.
Apple,2015,3.5,Repairable,Broken screen.
Apple,2015,3.5,Repairable,Broken screen.
Samsung,2010,9,Repairable,Loose wire from former repair.
Samsung,2010,9,Repairable,Loose wire from former repair.
Apple,2015,4.5,Repairable,Broken screen and button.
Apple,unknown,unknown,Repairable,Facetime not working - volume issue.
Apple,2016,3,Repairable,Cracked screen assembly + camera lens; needs new battery.
Apple,2016,3,Repairable,Cracked screen assembly.
Samsung,2017,2,Repairable,"No display on the screen, light at the bottom - need to research more on the issue."
Samsung,unknown,unknown,Repairable,Screen blacked out after physical impact.
Apple,2018,1,Repairable,Cracjed rear case glass.
Apple,2012,7,Repairable,Cracked screen assembly.
Apple,unknown,unknown,Repairable,display assembly replacement.
Apple,unknown,unknown,Repairable,needed new charging port and screen.
Apple,2015,4,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Screen Broken.
Apple,unknown,unknown,Repairable,Battery Fails @ 40%
Apple,unknown,unknown,Repairable,Battery Needs Replacing.
Samsung,unknown,unknown,Repairable,Screen broken; Replacement needed.
Samsung,unknown,unknown,Repairable,Screen Locked.
Apple,unknown,unknown,Repairable,Screen Broken; Replacement Needed.
Samsung,unknown,unknown,Repairable,Charging Port not working; Replacement Unit needed.
Apple,unknown,unknown,Repairable,"Needed a new battery. But after replacing the battery, the phone stopped working (even using the old battery). It looks like a mistake was made during the repair (possible short circuit). The phone was repaired after the event by replacing the display and vibration motor."
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,"No display even if device is detected (on wifi, bluetooth)"
Apple,unknown,unknown,Repairable,Photo camera problem.
Apple,unknown,unknown,Repairable,Battery won't charge.
Apple,unknown,unknown,Repairable,Jack port not working.
Apple,unknown,unknown,Repairable,Screen replacement.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Swolen battery.
Apple,2015,4,Repairable,Snapped display assembly flex.
Apple,2016,3,Repairable,Cracked digitiser; LCD flex cable shows sign of torn damage.
Apple,2015,4,Repairable,Cracked digitiser.
Samsung,2018,1,Repairable,Headphone jack clogged by dust; cleaned thoroughly.
Samsung,2018,1,Repairable,Charger port not detected; faulty USB cable.
Apple,unknown,unknown,Repairable,Camera OIS failure.
Apple,2015,4,Repairable,Screen assembly replacement.
Apple,2016,3,Repairable,Screen assembly replacement.
Apple,2017,2,Repairable,Cracked digitiser; screen assembly replacement requested.
Apple,2017,2,End of life,Extreme water damage after being put in a washing machine - data can be recovered.
Apple,2015,4,Repairable,Battery replacement.
Samsung,2017,2,Repairable,Doesn't turn on. Could be a battery issue. Recommended to try a new battery and then if no joy take it to professional repairer.
Apple,2012,7,Unknown,"Dead. Checked battery, that seemed OK (at least not working when powered by power cube)."
Samsung,2015,4,End of life,not starting /responding.
Samsung,2018,1,Repairable,Unable to get pictures from sim to memory card.
Samsung,unknown,unknown,Repairable,Broken screen.
Apple,2013,6,End of life,bended motherboard.
Apple,unknown,unknown,Repairable,broken screen and recharge circuit not working.
Samsung,2015,4,Repairable,broken camera lens.
Apple,unknown,unknown,Repairable,Broken Screen.
Apple,unknown,unknown,Repairable,Audio Problem.
Samsung,unknown,unknown,Repairable,"Doesn't charge well - dodgy cable, so advised to replace."
Samsung,unknown,unknown,Repairable,Broken Screen.
Apple,unknown,unknown,Repairable,Battery Needed Replacing.
Apple,unknown,unknown,Repairable,Cracked Screen; Needed Replacement.
Samsung,unknown,unknown,Repairable,Screen Needs Replacing.
Apple,unknown,unknown,Repairable,Screen Broken; To be replaced.
Apple,unknown,unknown,Repairable,Charging Port Faulty; Replaced.
Apple,unknown,unknown,Repairable,Charging Port Also Faulty; Replaced.
Samsung,unknown,unknown,Repairable,Faulty Screen; Needs Replacing.
Apple,2015,4,Repairable,"iMessages could not get send and a generally bad reception. Turned out her mobile data was turned off and the storage on the phone was reaching an end. It works for now, more questions are fixed in the future."
Apple,unknown,unknown,Repairable,"Cracked screen from being dropped twice. Replacement module already purchased. Supplied tools inadequate to complete repair. The owner will return to complete repair when tools available.<br><br>Update: This has now been fixed successfully after several more visits and ordering spare parts. A 3rd party screen £17.70 and a spare set of screws £2 to replace a lost screw.<br>A good value repair as the secondhand resell value on this phone is currently £350.<br><br>The instructions on iFixt were incomplete about the replacement of the two rubber buffer/grommets that are attached to the two pentalobe screws. And also there was some difficulty replacing the adhesive tape for gluing down the screen. In the future, it may be necessary to apply the adhesive before attaching the cables for the new screen as the cables get in the way.<br><br>Because of issues with the adhesive this repair may not be as waterproof as the original phone.<br><br>if the battery needs to be replaced due to having low capacity it is advised that it be done at the same time but the old battery was considered sufficient capacity and not replaced on this occasion.<br><br>ooo-xxx."
Apple,unknown,unknown,Repairable,Broken - fitted with new power cable and off switch realigned.
Apple,2017,2.5,Repairable,Microphone not working.
Apple,2013,5,Repairable,Slow home-button.
Samsung,2016,2,Repairable,Doesn't work + sim card.
Apple,2018,0.5,Repairable,plug for earphones broken.
Apple,2014,3.5,End of life,Turns off even when fully charged.
Samsung,2017,1,Repairable,Change back cover.
Apple,2015,3,Repairable,"Won't charge, loose screen."
Samsung,2016,2,Repairable,minijack street.
Apple,2015,3,Repairable,Won't turn on.
Apple,2016,2.5,Repairable,"""Dead"" screen."
Apple,2017,2.5,Repairable,Bad contact with sim card.
Apple,unknown,unknown,Repairable,"Not starting properly. Battery faulty, replacement needed. User referred to local business."
Samsung,unknown,unknown,Repairable,Screen broken. User advised on getting replacement.
Apple,unknown,unknown,Repairable,Speakers don't work. Found to be full of crud. Cleaned. Works.
Samsung,2014,5,Repairable,doesn't charge.
Samsung,2014,5,End of life,"not working, unknown."
Samsung,2012,7,End of life,"not working, unknown."
Apple,2011,8,Repairable,"iPhone 4S (black) with damaged (possible water damage) front-facing camera and home button. The led light is also permanently lit dimly draining the battery even when the phone is switched off A spare iPhone4S (white) with an iCloud locked logic board was used for spare parts. The logic board from both phones were removed and swapped over, thus two non-working phones were converted into one working phone. The current secondhand retail price on a working iPhone4S is about £30 making the price on replacement parts prohibitively high, salvaging from another iPhone is the best option. IFixit was used as a take apart guide. The Battery removal tab was accidentally allowed to get trapped under the logic board on the fixed phone. The effort of removing the logic board again on discovery was considered not worth it. ooo-xxx."
Apple,2014,5,Repairable,Screen & Battery Replacements.
Apple,unknown,unknown,Repairable,Screen Replacement.
Apple,unknown,unknown,Repairable,Not Working.
Apple,unknown,unknown,Repairable,Broken Screen; Antenna Connection broken.
Samsung,2017,2,Repairable,Broken screen. Replacement screen was probably broken.
Samsung,2014,5,End of life,"not working, unknown."
Samsung,2012,7,End of life,"not working, unknown."
Samsung,2014,5,Repairable,Not charging.
Samsung,2014,5,Repairable,not charging.
Apple,2014,5,Repairable,Battery change.
Apple,2014,5,Repairable,Foreign object in charging port.
Apple,2015,4,Repairable,Won't turn on.
Samsung,2015,4,Repairable,Doesn't remember security code.
Apple,2014,5,Repairable,Needs help with backup.
Samsung,2017,2,Repairable,The screen was partly dead. After ordering a new screen it was fixed.
Apple,unknown,unknown,Repairable,Broken screw.
Apple,2016,3,Repairable,rear camera shaking profusely - repaired before (screen replacement). Outside of apple's repair program.
Samsung,2017,2,Repairable,Cracked screen. Ordered new screen.
Apple,2015,4,Repairable,Screen cracked. Ordered new screen.
Apple,2015,4,Repairable,Screen cracked. Ordered new screen.
Apple,2014,5,Repairable,iPhone 6 presents with reported water damage. Owner says they opened it up themselves to try to dry it up and did not turn it on thereafter.Found water damage on motherboard - requires microsoldering. Referred to professional.
Apple,2014,5,Repairable,iPhone 6 with cracked digitiser. Replaced. Touch ID non functional. Replaced digitiser.
Apple,2016,3,Repairable,"iPhone 6s Plus with unstable, shaky camera. Came for camera replacement. Camera replaced. Back to normal functionality. Might have cracked the screen while opening up the device."
Samsung,2017,2,Repairable,Cracked digitiser. Replaced screen.
Apple,2017,2,Repairable,"Cracked digitizer few days ago, used for a few months only. Ordered new screen assembly."
Apple,2016,3,Repairable,"Cracked digitizer 4 months ago, screen repaired by 3rd part, Bad battery health(66%). Ordered new screen assembly."
Samsung,2015,4,Repairable,"Second hand phone, user requests new battery. Battery ordered."
Apple,2017,2,Repairable,Camera exhibit is classic shaking issue. Order camera replacement.
Apple,2014,5,Repairable,Unresponsive home button. Order new home button and screen.
Samsung,2018,1,Repairable,Cracked screen after dropping it. Customer prefer not to repair.
Samsung,2018,1,Repairable,"Cracked Screen., Customer prefers not to repair."
Samsung,2015,4,Repairable,Battery replacement.
Apple,2017,2,Repairable,"Device is second hand from a family member. Phone was dropped in water, caused smudges to appear on camera. Replaced rear camera and rear camera glass. Function back to normal."
Apple,2017,1.5,Repairable,Phone is stuck in the software reinstall phase. Could not fix it. Maybe proceed with motherboard replacement.
Apple,2017,2,Repairable,Camera exhibit is classic shaking issue. Camera ordered was defective. Reordered camera.
Apple,2017,2,Repairable,Fast battery drain. Ordered new battery.
Apple,2015,4,Repairable,Digitiser fully broken and falling apart. Requested new screen assembly.
Apple,2017,2,Repairable,Low battery health. Ordered new battery.
Apple,2016,3,Repairable,button stuck.
Samsung,unknown,unknown,End of life,4G signal problems. Possible on-board fault to Tx/Rx radio or antenna. Not replacable. Advise to put into re-flow.
Samsung,2016,3,Repairable,Sim-card holder won't open.
Apple,2015,4,Repairable,"Camera doesn't work, wants to change battery."
Apple,2014,5,Repairable,"""Frozen"" screen after fall."
Apple,2017,2,Repairable,Change screen.
Apple,2017,2,Repairable,Camera not working. Advice given.
Apple,2016,4,Repairable,Cannot transfer files to new phone. Files partly corrupted but moved to new phone and cloud.
Apple,unknown,unknown,Repairable,Been through the washing machine. Provided advise for repair.
Samsung,2018,2,Repairable,Screen not working.
Apple,2017,2,Repairable,Touch screen not working properly.
Samsung,2012,7,Repairable,Boot loop.
Apple,unknown,unknown,Repairable,Power/boot.
Apple,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Microphone not working.
Apple,unknown,unknown,Repairable,Not enough space.
Apple,2017,2.5,Repairable,Screen not working properly.
Apple,2015,3.5,Repairable,Microphone not working.
Apple,2018,1,Repairable,New screen.
Apple,2014,5,Repairable,Broken screen.
Samsung,2017,2.5,Repairable,Broken screen.
Apple,2017,2,Repairable,Broken screen.
Samsung,2015,4,Repairable,Button has slow reaction.
Apple,2017,2,Repairable,Broken screen.
Apple,2015,4,Repairable,dead battery.
Apple,unknown,unknown,Repairable,speakers not working.
Apple,unknown,unknown,Repairable,Transfer a screen from a broken device to a replacement one.
Apple,unknown,unknown,Repairable,couldn't retrieve photos.
Apple,2018,1.5,Repairable,scan disk key not recognized.
Samsung,unknown,unknown,End of life,"Dark screen, lcd trouble."
Samsung,2014,6,Repairable,Locked admin restricted downloading apps. Reset.
Apple,2017,2,Repairable,Replaced broken screen.
Samsung,unknown,unknown,Repairable,Loose charger connector.
Samsung,unknown,unknown,Repairable,Broken screen.
Apple,unknown,unknown,Repairable,Broken screen. The owner had the spare part so we placed it.
Apple,unknown,unknown,Repairable,Microphone not working; spare part needed; advice given.
Apple,unknown,unknown,Repairable,Needs new battery. Given advice on doing battery replacement.
Apple,2011,10,Repairable,iPhone 4 needed restoring.
Apple,unknown,unknown,Repairable,Needs new battery. Advice given.
Samsung,2017,4,Repairable,Battery changed.
Samsung,unknown,unknown,Repairable,Signal disturbed > Bluetooth disconnected.
Samsung,unknown,unknown,End of life,"Broken screen. Owner choosed not to repair her mobile, because she found the spare spart (screen) too expensive."
Apple,2017,4,Repairable,Problem with mail access - set-up. Staff in high street shops unwilling to help.
Samsung,2018,3,Repairable,Can`t connect to wifi.
Samsung,2016,5,Repairable,Battery not working propperly.
Samsung,2016,5,Repairable,Screen cracked.
Apple,2017,4,Repairable,Sidebar stopped working.
Apple,2017,4,Repairable,Need a new battery.
Apple,2021,0.5,Repairable,Cracked screen.
Apple,2015,6,Repairable,Not charging. Cleaned charging port from debris and rubbed with alcohol.
Samsung,2017,4,Repairable,Solder on the board. It's a micro weld.
Samsung,unknown,unknown,End of life,Not switching on.
Samsung,2016,5,End of life,Too many problems and screen totally black.
Apple,unknown,unknown,Repairable,iPhone. Fixed.
Apple,unknown,unknown,Repairable,Not charging easily. Not sure if repair was successful. Not charging is not due to connection.
Samsung,2020,1,Repairable,"The mobile phone showed notices of no space left for processing - it was 95% full, but 50% of it was ""unknown"". 10% extra was cleared by the Restarter, but more work is needed to clear the space. With 85% disc space taken, the phone had a bit more processing speed. The participant said they've learned a lot and were thankful for the suggestions on further actions possible."
Samsung,2011,10,Repairable,Cant get internet access. Advised to do factory reset. and re-install applications. Wanted to check everything backed up before doing this.
Samsung,2018,3,Repairable,Screen replacement.
Apple,2016,5,Repairable,User reported intermittent problems playing videos even when 4G signal is good. Checked memory usage and apps. All sw is updated. Played video. No fault found. Advised to use Wi-fi where possible.
Samsung,2016,5,End of life,Replacement screen 1800SEK.
Apple,2015,6,Repairable,spare screen 300SEK.
Samsung,2017,4,Repairable,Need a new screen.
Samsung,2020,2,Repairable,"Insulation tape frayed, fixed with tape."
Apple,2020,2,Repairable,"Screen coming off front, needs unscrewing at bottom and replacing."
Apple,2020,2,Repairable,Sign in required.
Apple,2020,2,Repairable,Sign in required.
Samsung,2019,3,End of life,"The mobile was not turning on, but we had no means of opening it to diagnose the issue. The owner did not speak much English, so it was difficult to engage."
Apple,2014,8,Repairable,Needs new battery.
Samsung,2019,3,Repairable,Needs new screen.
Samsung,2018,4,Repairable,Needs new battery.
Apple,2018,3.5,Repairable,Needs new button.
Apple,unknown,unknown,Repairable,Change the camera.
Apple,2018,4,Repairable,Charge connector damaged on phone. User has second non-working phone and was looking to swap connectors. We did not have the means to unglue the cases or do the SM soldering at this session. User will find another repair session where help might be available.
Apple,2019,3,Repairable,Broken Screen.
Apple,2020,2,Repairable,broken Screen.
Apple,2019,3,Repairable,cracked screen.
Apple,2018,4,Repairable,Cracked screen.
Apple,2018,4,Repairable,Cracked screen.
Apple,2021,1,Repairable,Cracked screen.
Apple,2019,3,Repairable,Cracked Screen.
Apple,2016,6,Unknown,broken cable.
Apple,2020,2,Repairable,broken window.
Apple,2020,2,Repairable,"When I place a call the screen goes black and I can't hang up, thank you for this great initiative,"
Apple,unknown,unknown,Repairable,The screen broadcasts bright lighting making it impossible to use the phone. We won't repair iPhones that still work.
Samsung,2019,3,Repairable,Has taken on water: no longer lights up. Lack of equipment to open the mobile phone.
Samsung,2018,4.5,Repairable,Specific tools not present: heat gun.
Samsung,unknown,unknown,Repairable,Screen to be replaced.
Samsung,2020,2,Repairable,No power. Couldn't open.
Samsung,2022,0.2,Repairable,Screen smashed. Advice given. Owner had expensive quote from manufacturer.
Apple,2017,5,Repairable,Battery to be replaced.
Apple,2015,7,Repairable,"Home button no longer working. Replaced with a new home button, understands that fingerprint recognition now no longer works."
Apple,2016,6,Repairable,Won't recognise SIM card. added a screw onto mainboard.
Apple,2017,5,Repairable,Camera lens to change – see specialist for tools.
Samsung,2014,8,Repairable,Solder some connections.
Apple,2016,6,Repairable,Changed the battery.
Apple,unknown,unknown,Repairable,Charger connection.
Samsung,2017,5,Repairable,WhatsApp not updating. Google Play updates not working. Cleared cache and tested. Working now.
Samsung,2019,3,Repairable,Cracked screen. owner was advised to takeit to a specialist phone repair shop. Suggested owner looks in the Restart Repair Director for a suitable shop.
Samsung,unknown,unknown,End of life,No longer lights up.
Samsung,2018,3,Repairable,Screen broken.
Samsung,2017,5,Repairable,Cracked Screen/ new parts being ordered by owner and will be repaired themselves.
Samsung,2017,5,Repairable,Cracked Screen/ advised how to DIY and spare parts needed.
Samsung,unknown,unknown,Repairable,Broken Display.
Apple,unknown,unknown,Repairable,"""loose"" touch id."
Samsung,2020,2,Repairable,"After falling, the phone rings and vibrates, but the screen no longer turns on. The screen had already been replaced after a previous breakage. Attempting to disassemble the back cover. The two short sides are blocked. Advice to come to RC Confluence."
Samsung,2019,3,Repairable,Screen needs replacing.
Apple,unknown,unknown,Repairable,problem configuring settings.
Apple,unknown,unknown,Repairable,window broken. came with a new window.
Samsung,2019,3,Repairable,The phone does not turn on > press the ON button simultaneously and vol-
Apple,2016,6,Repairable,"The owner wanted to learn to take apart the phone, so he could replace the screen himself. The owner was really keen to learn how to disassemble and reassemble the phone."
Samsung,unknown,unknown,End of life,charger port broken.
Samsung,unknown,unknown,Repairable,broken display only.
Samsung,2017,5,Repairable,Icons doubled.
Apple,2018,3.5,Repairable,Smashed screen.
Apple,unknown,unknown,Repairable,Line on screen. New screen.
Apple,unknown,unknown,Repairable,Doesn't turn on. Water damage.
Apple,2018,4,Repairable,Crushed screen.
Samsung,2013,9,Repairable,Crushed screen.
Samsung,2015,7,Repairable,"It was corrupted all the apps not working, it couldn't load any app or browser. we did factory reset and we fix it."
Samsung,2019,3,Repairable,"The storage is full and she cannot do anymore photos. we explain her how to empty her phone, we dis-selected the auto download on whatsapp because she has 700 videos, and we we explain her how to empty her phone, wee dis-selected the auto download on whats app because she has 700 videos, and we recommended her to see a video tutorial for move her files into the computer to see a video tutorial for move her files into the computer."
Apple,2017,5,Repairable,Motherboard is dead.
Apple,2021,1,Repairable,Not starting.
Samsung,2019,3,Repairable,broken screen. The person must return with a new screen to be able to make the replacement.
Apple,2020,2,Repairable,Rear glass needed replacement. Owner had purchased replacement parts. The repair would take apprx 2hrs which was too long for the event.
Samsung,unknown,unknown,Repairable,Doc problem.
Samsung,2014,8,Repairable,"issue with apps, they have some failing sometimes or they couldn't load properly. we cleared the phone from not used memory and updated with the latest version of all the apps, everything is working now."
Apple,unknown,unknown,Repairable,Not staying charged. Needs new battery.
apple,unknown,unknown,Repairable,defective touchid.
Apple,unknown,unknown,End of life,Loses his information.
Samsung,unknown,unknown,Repairable,Charging problem. Placed connector + magnetic cable.
Samsung,unknown,unknown,Repairable,Battery changed.
Samsung,2022,1,Repairable,"The device owner's dog had chewed the corner of the phone, damaging the screen. Restarter helped them find a replacement part and order it."
Apple,2019,4,Repairable,not charging after new battery fitted - advised to visit Apple store.
Apple,unknown,unknown,Repairable,Replacement screen needed as it was unclear. Use the repair directory.
Samsung,unknown,unknown,Repairable,Default settings.
apple,unknown,unknown,Repairable,only glass film was broken.
Samsung,unknown,unknown,Repairable,broken display.
Samsung,unknown,unknown,Repairable,The visitor wants to transfer data from his smartphone to an external hard drive. Solved: files transferred.
Samsung,2016,7,Repairable,Broken screen - Advice given.
Apple,2023,0.5,Repairable,Touch screen not working. Changed the battery. Display F/w needs to reset.Advised customer to try to reset the DFU mode at home. If it is not success asked to bring back to try with us.
Samsung,2018,5,Repairable,applications to uninstall + clean RAM.
Samsung,2018,5,Repairable,Owner given advice. Could not receive or make calls.
Apple,2013,10,Repairable,Broken screen.
Apple,unknown,unknown,End of life,replacement batt Impossible.
apple,unknown,unknown,Unknown,screen smashed. replaced screen.
Samsung,2018,5,End of life,White screen.
Apple,unknown,unknown,Repairable,Data transfer.
Samsung,2013,10,Repairable,"User said not working No fault found, worked OK User error."
Apple,2013,10,Repairable,User said not working No fault found User error.
Samsung,2018,5,Repairable,Phone ok. Case broken - customer to buy new case.
Apple,2020,3,Repairable,"Not sure about repairability, needs more time."
Apple,2020,3,End of life,Charger cable broken near plug. Not repairable. Recycle and replace.
Samsung,unknown,unknown,Repairable,The charging port input is no longer active: the two bent connector tabs must be replaced.
Apple,2013,10,Repairable,Not charging. New battery required.
Samsung,unknown,unknown,Repairable,No life. pointe screwdriver-capable owner at ifixit.com.
Samsung,unknown,unknown,Repairable,Charging point not working.
Samsung,2021,2,Repairable,user complaining of device being slow. cleared cache.
Apple,unknown,unknown,Repairable,iPhone with cracked screen for replacement. Recommended parts to owner.
Apple,unknown,unknown,Repairable,Software issue with phone keypad.
Samsung,unknown,unknown,Repairable,"data to be removed and set back to factory settings one done, one for next month."
Apple,2019,4,Repairable,Face ID componentry broken (requires micro-soldering to fix).
Apple,2015,8,End of life,Battery expanded. Battery removed safely.
Apple,2015,8,End of life,Battery expanded. Battery removed safely.
Apple,2016,7,Repairable,"Owner had battery professionally replaced 3 months ago, no now longer charging. Risky and long repair so will get professional help."
Samsung,unknown,unknown,Repairable,Broken screen. Not clear whether screen repair would resolve issue.
Apple,2022,1,Repairable,Wont turn on.
Samsung,unknown,unknown,Repairable,Android phone not booting. Suggest replacing battery available on ebay.
Apple,2019,4,Repairable,Lightening cable faulty. Advised customer to buy a new cable.
Apple,unknown,unknown,Repairable,New battery required.
Samsung,2011,12,Repairable,"Not sure, needs charging cable."
Apple,2017,6,Repairable,iPhone problem with removing apps. Turned off chrome notifications.
Apple,2015,7,Repairable,Has cracks.
Apple,unknown,unknown,Repairable,Very broken and falling apart. Front sensor needs to be replaced. Battery removed as it is dangerous.
Samsung,unknown,unknown,Repairable,no battery.
Apple,2018,5,Repairable,Battery replacement.
Samsung,2019,4,End of life,One battery dead another bulging and unsafe. Charger faulty.
Samsung,2021,2,Repairable,Suspected virus in SD card. Took out SD card and system reset.
Samsung,2018,5,Repairable,Not charging.
Samsung,2018,5,Repairable,"Screen break, turns on to a white screen."
Samsung,2015,8,Repairable,"When charging gives a message ""water present in charging port"" Foreign object found in charge port. Cleaned the charge port. Now working. Repairability- 2- Easy."
Apple,unknown,unknown,Repairable,Mobile cleaning and service.
Apple,unknown,unknown,Repairable,mobile service and cleaning.
Samsung,2019,4,Repairable,Back is cracked. Can be replaced. Visitor directed towards replacement parts website.
Samsung,2020,3,Repairable,Need to clean the inside of telephone. aplly new rubber glue.
Samsung,unknown,unknown,Repairable,Display replaced.
Samsung,unknown,unknown,Repairable,Managed to realign charging port (USB-C) and charged phone enough to turn it on. Discussed options for transferring data to another phone or laptop.
Apple,2020,3,Repairable,"Loose screen, battery must be replaced."
Apple,2021,2,Repairable,"broken charger plug in port, Port must be replaced."
Samsung,unknown,unknown,Repairable,needs to replace the camera.
Apple,unknown,unknown,Repairable,Phone had issues with network access. Restored settings and device operated as expected.
Apple,2019,4,Repairable,screen panel replace everything works fine.
samsung,2020,3,Repairable,application whatsapp.
Apple,unknown,unknown,Repairable,"The screen is smashed, ink has covered the screen. The audio has been muffled. Needs new screen."
Apple,2014,10,Repairable,Replacement of the fingerprint reader.
Samsung,2020,4,Repairable,The USB-C connector no longer works.
Samsung,2022,2,Repairable,Cleaning the ignition buttons!
Samsung,2021,2,End of life,does not charge.
Samsung,unknown,unknown,Repairable,Won't boot.
Apple,2022,2,Repairable,The screen connection is faulty.
samsung,2020,4,End of life,HS screen.
Apple,2021,2,Repairable,Dropped it once.
Apple,unknown,unknown,Repairable,Cleaned.
Samsung,2022,2,Repairable,Not working but does charge. Checked phone. Screen is damaged but the phone works. Seek professional help. Repairability-10- difficult.
Apple,2021,3,Repairable,Low battery capacity. Needs to be replaced. New battery installed.
Apple,2010,13,Repairable,Dirty connector? Battery to replace?
Samsung,2014,10,Repairable,Samsung and HTC phones cleared for recycling.
Samsung,2013,11,End of life,Software update not available.
Apple,unknown,unknown,Repairable,Locked on iCloud services.
Samsung,2010,14,End of life,Phone only had capacity for 2/3G. Most likely receiving poor signal due to decommission of tower in January / limited availability of network.
Apple,2019,5,Repairable,"Charging point blocked. Got a part; needs help opening. Taken apart; hopes to finish at home, needs to get crosshead 000 screwdriver."
Apple,2020,4,Repairable,Fault traced to USB charger. Phone OK. Will buy new charger.
Apple,unknown,unknown,Repairable,Broken screen after dropping. Advised to take to phone repair shop locally. Fixable with replacement parts.
Samsung,2018,6,Repairable,"Phone does not work despite replacing battery. Unable to identify the fault, provided advice."
Apple,unknown,unknown,End of life,Home button not working. It also turned out that the cover was ripped off in one place. Customer left us the phone to practice on.
Apple,2022,2,Repairable,The GSM no longer charges. He must order a battery to do a charging test. He must control the screen the defective connection cable.
Samsung,2020,4,Repairable,Reassembled the GSM and everything works again.
Apple,2022,2,Repairable,"SIM card stuck. Removed it, and trimmed it to prevent recurrence."
Samsung,unknown,unknown,Repairable,Could not access brightness control.
Apple,2018,6,End of life,Screen damaged and won't turn on. No access to internal parts. We are not equipped to replace screen.
Samsung,2022,2,Repairable,Connection issue to Facebook - uninstalled and reinstalled and now working.
Samsung,2024,0.2,Repairable,Switch is intermittent. Needs professional help. Repairability-10-difficult.
Apple,2022,2,Repairable,The GSM no longer charges. It must order a battery to do a charging test. everything works fine ;)
Samsung,2022,2,Repairable,order spare part.
Samsung,2022,2,Repairable,order spare part.
Samsung,2022,2,Repairable,"order spare part. reassembly of the GSM with the new parts and everything works again, concentric incorrectly reassembled but problem resolved."
Samsung,2022,2,Repairable,clear cache reinstall app.
Apple,2020,4,Repairable,Phone calls get transferred.
Apple,unknown,unknown,Repairable,Software issue.
Apple,unknown,unknown,Repairable,Screen replacement.
Samsung,unknown,unknown,End of life,"Spare part inserted, worked briefly, but then nothing. got no effect."
Samsung,2022,2.5,Repairable,Charging cable not engaging with phone socket. Faulty cable - needs replacing No fault on the phone.
Apple,unknown,unknown,Repairable,Sim tray problematic Pending a phone of similar type coming in that parts can be used for.
Samsung,unknown,unknown,Repairable,it doesn't switch on - dirty contacts in usb plug.
Apple,2022,2,Repairable,Broken screen.
Samsung,2019,5,Repairable,simcard slot wouldn't open. Used paper clip to open.
Samsung,2022,2,Repairable,"File transfer problem between Smartphone and PC, solved via USB-C adapter."
Samsung,2022,2,End of life,"submerged phone. the person would like to recover the photos on it. tests to continue, Pierre takes the phone."
Samsung,2017,7,Repairable,battery replacement back cover replacement.
Apple,unknown,unknown,Repairable,Apple phone having a battery problem? Diagnosis: replace screen - rear battery to purchase for a future session.
Apple,2013,11,Repairable,"08 - frozen because stop button blocked. Inside, broken screws, swollen battery, impossible to open."
Apple,unknown,unknown,Repairable,"Speaker volume is low when using it as a phone. Settings checked, phone opened to check speaker. May need new speaker."
Samsung,2017,7,Repairable,Ordered a new battery following confirmation of failure by the repair café technician.
Samsung,2020,4,Repairable,Rear window broken -> replaced.
Samsung,2022,2,Repairable,no longer charges.
Samsung,2022,2,Repairable,broken screen -> replaced.
Samsung,2016,8,End of life,need to change screen too expensive.
Samsung,2020,4,End of life,"Dead internal card, GSM is irreparable."
Samsung,2020,4,End of life,Overheating. They weren't able to open it so it couldn't be repaired.
Samsung,2021,3,Repairable,15 - inaccessible sites —> set cookie settings.
Samsung,unknown,unknown,Repairable,"unlocked, reset."
Apple,2019,5,End of life,Battery broken. Phone not receiving any power.
